1683722545.801202 client started (300290): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1683722545.801261 on Linux 6.2.0-76060200-generic #202302191831~1677858327~22.04~3cea1be SMP PREEMPT_DYNAMIC Fri M
1683722545.804327 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804333 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804340 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804347 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804362 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804370 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804377 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.804383 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804391 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804398 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804405 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804412 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804419 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804431 sending message 112 to peer 0x556a52d9eed0 (11 bytes)
1683722545.804438 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804445 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804452 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804459 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804466 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804472 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.804479 sending message 112 to peer 0x556a52d9eed0 (11 bytes)
1683722545.804486 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804492 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804498 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804505 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804512 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804519 sending message 112 to peer 0x556a52d9eed0 (21 bytes)
1683722545.804525 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.804532 sending message 112 to peer 0x556a52d9eed0 (9 bytes)
1683722545.804546 sending message 112 to peer 0x556a52d9eed0 (6 bytes)
1683722545.804553 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
